"Id";"Name";"Description";"Address";"City";"MobileNo";"LanNo";"Email";"CustomerTypeId";"BalanceDue";"CreditLimit";"CreditDays";"IsExistingCustomer";"AddedOn";"ModifiedOn";"UpdatedBy"
1;"Hotel Grand";"";"Grand Hotel Lanr";"Nuwaraeliya";771092026;522222987;"grandhotel@gmail.com";2;11300.0;500000.0;30;0;"2017-01-20 16:55:21";"2017-06-14 15:00:09";0
2;"Highland hotel by unique group";"Highland hotel by unique group";"Highland hotel by unique group";"";0;0;"";2;16500.0;0.0;30;0;"2017-01-20 18:58:58";"2017-06-14 15:09:56";0
3;"ARALIYAGREENHILLS";"";"";"Nuwaraeliya1";0;0;"";2;567683.0;0.0;30;0;"2017-01-21 18:09:35";"2017-06-23 19:14:18";0
4;"CEYBANK";"";"";"Race course road";0;0;"";2;7400.0;0.0;30;0;"2017-01-21 18:09:35";"2017-07-09 13:01:25";0
5;"FRIDSRO";"";"";"";0;0;"";2;399888.0;0.0;30;0;"2017-01-21 18:09:35";"2017-06-15 16:19:47";0
6;"GOLFCLUB";"";"";"";0;0;"";2;972804.0;0.0;30;0;"2017-01-21 18:09:35";"2017-06-14 18:16:01";0
7;"GRANDHOTEL";"";"";"NE";0;0;"";2;3952232.0;0.0;30;0;"2017-01-21 18:09:36";"2017-05-31 12:59:35";0
8;"HILLCLUB";"";"";"";0;0;"";2;1880891.0;0.0;30;0;"2017-01-21 18:09:36";"2017-07-15 19:52:26";0
9;"INCO";"";"";"";0;0;"";2;57396.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-07 18:11:59";0
10;"LANGDALERESORT";"";"";"";0;0;"";3;579534.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
11;"LANKADHLVYA";"";"";"";0;0;"";3;59160.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
12;"MENCAFFE";"";"";"";0;0;"";3;93746.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
13;"NEWCEYBANK";"";"";"";0;0;"";3;52269.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
14;"ST.ANDREWS";"";"";"";0;0;"";3;762623.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
15;"TFIELD";"";"";"";0;0;"";3;74971.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
16;"TEAFACTORY";"";"";"";0;0;"";3;847632.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
17;"WORLDVISIONLANKA";"";"";"";0;0;"";3;97516.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
18;"A.K.M";"";"";"";0;0;"";4;28806.0;0.0;30;0;"2017-01-21 18:09:36";"2017-07-16 12:34:00";0
19;"A.T.BPUSPA";"";"";"";0;0;"";4;226014.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-24 18:31:41";0
20;"AMEER";"";"";"";0;0;"";4;10729.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
21;"ANANDAWEL";"";"";"";0;0;"";4;27980.0;0.0;30;0;"2017-01-21 18:09:36";"2017-06-14 15:00:09";0
