RAVINDRA DISTRIBUTOR,RAVINDRA DISTRIBUTOR,TRUE,NO:26B UPPER LACK ROAD,, NUWARA ELIYA,1,7,523530504,522051644
N/WOODLANDS (PVT) LTD,N/WOODLANDS (PVT) LTD,TRUE,NO.80 KANDY ROAD   NUWARAELIYA   ,, NUWARA ELIYA,1,10,522222326,0
COCO-COLA BEVERAGES,COCO-COLA BEVERAGES,TRUE,TEKKAWATTE   ,,BIYAGAMA   ,1,7,112487700,0
NANDANA STORES,NANDANA STORES,TRUE,NO:92 HATTON ROAD      ,,,1,7,715170614,0
KEELS FOOD PRODUCTUS PLC,KEELS FOOD PRODUCTUS PLC,TRUE,NO:16 MINUWANGODO ROAD   ,,EKALA   JA-ELA,1,7,0,0
REKHA INDUSTRIES (PVT) LTD,REKHA INDUSTRIES (PVT) LTD,TRUE,NAMBULUWA   ,,PASYALA   ,1,7,332285796,332285796
RINUSHA DISTRIBUTOR,RINUSHA DISTRIBUTOR,TRUE,NA,,,1,7,0,0
NEW LEELA STORES,NEW LEELA STORES,TRUE,NO:269 CLEMENT GARDEEN      ,,,1,7,713735890,522051018
PRICE CRONTROL,PRICE CRONTROL,TRUE,NA,,,1,7,771088917,0
KUMAR DISTRIBUTOR,KUMAR DISTRIBUTOR,TRUE,KANDY      ,,KANDY      ,1,7,772852540,0
LANKA MILK FOODS (CWE) PLC,LANKA MILK FOODS (CWE) PLC,TRUE,WELISARA   RAGAMA   ,,RAGAMA  ,1,7,115222600,0
SHAW WALLACE CEYLON LYD,SHAW WALLACE CEYLON LYD,TRUE,P.O.BOX 130   69 SRIJINARATANA ROAD   ,,COLOMBO,1,7,112675477,0
PLENTY FOODS (PVT) LTD,PLENTY FOODS (PVT) LTD,TRUE,NO:108/3   SRI JOHN KOTHALAEALA MW   ,,KANDWALA,1,7,115004000,112638846
SELAN CANDLE INDUSTRIES,SELAN CANDLE INDUSTRIES,TRUE,NOORI ROAD   ANHETTIGAMA   ,,DERANIYAGALA,1,7,362230518,0
FONTERRA BRANDS LANKA (PRIVATE,FONTERRA BRANDS LANKA (PRIVATE,TRUE,NO:100 DELGODA ROAD   ,,BIYAGAMA  ,1,7,0,0
PUSHPA TRADERS,PUSHPA TRADERS,TRUE,NO:50 LAWSON STREET   ,,NUWARA ELIYA  ,1,7,0,0
A.BAUR&CO.(PVT)LTD,A.BAUR&CO.(PVT)LTD,TRUE,NO.62 JETHAWANA ROAD   ,,COLOMBO 14   ,1,7,114728706,112478680
VIJAYA ICE CORN,VIJAYA ICE CORN,TRUE,NO315   ,,MAIANGANA   ,1,7,714964742,0
HELP FOR THE CHILDREN,HELP FOR THE CHILDREN,TRUE,RAGALA      ,,RAGALA      ,1,7,0,0
