Id,Code,Name,Description,UnitOfMeasure,CategoryId,CompanyId,ReorderPoint,SupportsMultiPrice,BarcodeNo,AddedOn,ModifiedOn,UpdatedBy,IsActive
2,2173,"Fito-Orange/Mango 200Ml",NULL,3,121,22,30.00,0,NULL,"2017-09-22 19:12:29","2018-06-03 16:44:14",NULL,1
3,332,"Baby Rusks 60G",NULL,3,14,125,2.00,0,NULL,"2017-09-22 19:12:30","2018-11-23 13:32:15",NULL,1
4,333,"Baby Rusks 100G",NULL,3,14,125,2.00,0,NULL,"2017-09-22 19:12:31","2018-11-23 13:32:15",NULL,1
6,335,"Bourbon 100G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:32","2018-11-23 13:32:15",NULL,1
7,336,"Bran Cracker 240G",NULL,3,14,125,9.00,0,NULL,"2017-09-22 19:12:33","2018-11-23 13:32:15",NULL,1
8,337,"Cheese Button 170G",NULL,3,14,125,3.00,0,NULL,"2017-09-22 19:12:34","2018-11-23 13:32:15",NULL,1
9,338,"Cheese Button 215G",NULL,18,14,125,3.00,0,NULL,"2017-09-22 19:12:35","2018-11-23 13:32:15",NULL,1
10,339,"Cheese Cracker 200G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:36","2018-11-23 13:32:15",NULL,1
11,340,"Cheese Cracker 100G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:36","2018-11-23 13:32:15",NULL,1
12,341,"Cheese 170G",NULL,3,14,15,3.00,0,NULL,"2017-09-22 19:12:37","2020-03-01 11:38:25",6,1
13,342,"ChocoChip Cookies 100G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:38","2018-11-23 13:32:15",NULL,1
14,343,"Choco Cream 400G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:12:39","2018-11-23 13:32:15",NULL,1
15,344,"Chocolate Carols 275G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:40","2018-11-23 13:32:15",NULL,1
16,345,"Chocolate Carols 100G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:41","2018-11-23 13:32:15",NULL,1
17,346,"Chocolate Cream 100G",NULL,3,14,125,50.00,0,NULL,"2017-09-22 19:12:42","2018-11-24 09:45:00",NULL,1
18,347,"Chocolate Cream 400G",NULL,3,14,125,20.00,0,NULL,"2017-09-22 19:12:42","2018-11-24 09:45:00",NULL,1
19,348,"Roundz 100G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:12:43","2018-11-24 09:45:00",NULL,1
20,349,"Chocolate Marie 400G",NULL,3,14,125,8.00,0,NULL,"2017-09-22 19:12:45","2019-06-26 12:11:25",2,1
21,350,"Chocolate Marie 90G",NULL,3,14,125,24.00,0,NULL,"2017-09-22 19:12:45","2020-03-05 15:57:23",2,1
22,351,"Chocolate Puff 100G",NULL,3,14,125,40.00,0,NULL,"2017-09-22 19:12:46","2018-11-24 09:45:00",NULL,1
23,352,"Chocolate Puff 200G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:12:47","2018-06-03 16:44:14",NULL,1
24,356,"Crunchee Carol 100G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:12:48","2018-11-24 09:45:00",NULL,1
25,357,"Crunchee Carol 275G",NULL,3,14,125,8.00,0,NULL,"2017-09-22 19:12:49","2018-11-24 09:45:00",NULL,1
26,358,"Custard Cream 100G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:12:50","2018-06-03 16:44:14",NULL,1
27,359,"Digestive 125G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:50","2018-11-24 09:45:00",NULL,1
28,360,"Gem 100G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:12:51","2018-11-24 09:45:00",NULL,1
29,361,"Gem 15G Cbl",NULL,3,14,125,0.00,0,NULL,"2017-09-22 19:12:52","2018-11-24 09:45:00",NULL,1
30,362,"Gift Asst 400G",NULL,3,14,125,3.00,0,NULL,"2017-09-22 19:12:53","2018-11-24 09:45:00",NULL,1
31,363,"Ginger Biscuit 400G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:12:54","2018-11-24 09:45:00",NULL,1
32,364,"Ginger Biscuit 80G",NULL,3,14,125,24.00,0,NULL,"2017-09-22 19:12:55","2018-11-24 09:45:00",NULL,1
33,365,"Ginger Zing",NULL,3,14,125,0.00,0,NULL,"2017-09-22 19:12:56","2018-11-24 09:45:00",NULL,1
34,366,Glucofit,NULL,3,14,125,0.00,0,NULL,"2017-09-22 19:12:57","2018-11-24 09:45:00",NULL,1
35,367,"Hawaian Cookies 100G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:12:58","2018-06-03 16:44:14",NULL,1
36,368,"Hawaian Cookies 200G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:12:59","2018-06-03 16:44:14",NULL,1
37,369,"Kalo 90G",NULL,3,14,125,3.00,0,NULL,"2017-09-22 19:12:59","2018-11-24 09:45:00",NULL,1
38,370,"Karapincha 100G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:13:00","2018-11-24 09:45:00",NULL,1
39,371,"Kome 100G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:13:01","2018-11-24 09:45:00",NULL,1
40,372,"Kome 50G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:13:02","2018-11-24 09:45:00",NULL,1
41,373,"Kurakkan Cracker 100G",NULL,3,14,125,12.00,0,NULL,"2017-09-22 19:13:03","2018-11-24 09:45:00",NULL,1
42,374,"Lemon Puff 100G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:13:03","2018-06-03 16:44:14",NULL,1
43,375,"Lemon Puff 200G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:13:04","2018-06-03 16:44:14",NULL,1
44,376,"Lite Marie 250G",NULL,3,14,125,4.00,0,NULL,"2017-09-22 19:13:05","2018-11-24 09:45:00",NULL,1
45,377,"Lite Marie 65G",NULL,3,14,125,8.00,0,NULL,"2017-09-22 19:13:05","2018-11-24 09:45:00",NULL,1
46,378,"Milk Cream 290G",NULL,3,14,125,8.00,0,NULL,"2017-09-22 19:13:06","2018-11-24 09:45:00",NULL,1
47,379,"Milk Cream 90G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:13:07","2018-06-03 16:44:14",NULL,1
48,380,"Milk Short Cake 200G",NULL,3,14,125,30.00,0,NULL,"2017-09-22 19:13:08","2018-06-03 16:44:14",NULL,1
49,381,"Milk Short Cake 85G",NULL,3,14,125,24.00,0,NULL,"2017-09-22 19:13:09","2018-11-24 09:45:00",NULL,1
50,382,"Milk Shorties 350G",NULL,3,14,125,4.00,0,NULL,"2017-09-22 19:13:09","2018-11-24 09:45:00",NULL,1
51,383,"Milk Shorties 75G",NULL,3,14,125,18.00,0,NULL,"2017-09-22 19:13:10","2018-11-24 09:45:00",NULL,1
52,384,"Nice 100G",NULL,3,14,125,24.00,0,NULL,"2017-09-22 19:13:11","2018-11-24 09:45:00",NULL,1
53,385,"Nice 400G",NULL,3,14,125,16.00,0,NULL,"2017-09-22 19:13:12","2018-11-24 09:45:00",NULL,1
54,386,"Onion Biscuit 170G",NULL,3,14,125,3.00,0,NULL,"2017-09-22 19:13:12","2018-11-24 09:45:00",NULL,1
55,387,"Onion Biscuit 250G Tin",NULL,18,14,125,3.00,0,NULL,"2017-09-22 19:13:12","2018-11-24 09:45:00",NULL,1
56,388,"Rice Rasin Cookies",NULL,3,14,125,3.00,0,NULL,"2017-09-22 19:13:13","2019-12-15 13:09:56",2,1
57,389,"Ringo 300G",NULL,3,14,125,8.00,0,NULL,"2017-09-22 19:13:13","2018-11-24 09:45:00",NULL,1
58,390,"Ringo 60G",NULL,3,14,125,48.00,0,NULL,"2017-09-22 19:13:13","2018-11-24 09:45:00",NULL,1
59,391,"Samaposha Biscuit",NULL,3,14,125,0.00,0,NULL,"2017-09-22 19:13:14","2018-11-24 09:45:00",NULL,1
60,392,"Savoury 20G",NULL,3,14,125,48.00,0,NULL,"2017-09-22 19:13:15","2018-11-24 09:45:00",NULL,1
61,393,"Savoury Nuts 170G",NULL,3,14,125,6.00,0,NULL,"2017-09-22 19:13:15","2018-11-24 10:19:06",NULL,1
62,394,"Handy Pack 250G",NULL,3,14,125,36.00,0,NULL,"2017-09-22 19:13:15","2018-11-24 10:19:07",NULL,1
